scenario,gtap_region,resolution,disbursement,gdp_2030,gdp_2040,gdp_2050
24,New Zealand,individual,none,-0.081,-0.286,-0.315
24,Nicaragua,individual,none,-0.120,-0.414,-0.456
24,Nigeria,individual,none,-0.041,-0.180,-0.193
24,Norway,individual,none,-0.016,-0.058,-0.075
24,Oman,individual,none,-0.100,-0.374,-0.462
24,Pakistan,individual,none,-0.043,-0.155,-0.183
24,Panama,individual,none,-0.061,-0.242,-0.279
24,Paraguay,individual,none,-0.052,-0.196,-0.225
24,Peru,individual,none,-0.107,-0.354,-0.425
24,Philippines,individual,none,-0.064,-0.228,-0.281
24,Poland,individual,none,-0.019,-0.066,-0.080
24,Portugal,individual,none,-0.042,-0.139,-0.161
24,Qatar,individual,none,-0.103,-0.393,-0.446
24,Republic of Korea,individual,none,-0.071,-0.239,-0.289
24,Rest of American SIDS,aggregate,none,-0.109,-0.443,-0.491
24,Rest of Asia,aggregate,none,-0.026,-0.095,-0.111
24,Rest of Asian SIDS and LDCs,aggregate,none,-0.101,-0.348,-0.425
24,Rest of Caribbean,aggregate,none,-0.057,-0.207,-0.235
24,Rest of Europe,aggregate,none,-0.017,-0.058,-0.066
24,Rest of LDC in Africa,aggregate,none,-0.081,-0.302,-0.348
24,Rest of Middle East and North Africa,aggregate,none,-0.063,-0.194,-0.213
24,Rest of Oceania,aggregate,none,-0.127,-0.469,-0.536
24,Rest of Western Africa,aggregate,none,-0.204,-0.793,-0.940
24,Rest of developing economies in Europe and Central Asia,aggregate,none,-0.023,-0.082,-0.096
24,Rest of landlocked economies in Africa,aggregate,none,-0.036,-0.128,-0.142
24,Rest of the world,aggregate,none,-0.021,-0.063,-0.076
24,Romania,individual,none,-0.019,-0.059,-0.071
24,Russian Federation,individual,none,-0.026,-0.083,-0.104
24,Saudi Arabia,individual,none,-0.069,-0.239,-0.285
24,Serbia,individual,none,-0.020,-0.061,-0.071
24,Singapore,individual,none,-0.059,-0.212,-0.247
24,Slovenia,individual,none,-0.035,-0.125,-0.140
24,South Africa,individual,none,-0.070,-0.243,-0.275
24,Spain,individual,none,-0.035,-0.115,-0.136
24,Sri Lanka,individual,none,-0.048,-0.160,-0.188
24,Sweden,individual,none,-0.023,-0.076,-0.093
24,Syrian Arab Republic,individual,none,-0.061,-0.190,-0.207
24,Thailand,individual,none,-0.066,-0.229,-0.275
24,Trinidad and Tobago,individual,none,-0.107,-0.388,-0.426
24,Tunisia,individual,none,-0.084,-0.275,-0.319
24,Türkiye,individual,none,-0.063,-0.212,-0.256
24,Ukraine,individual,none,-0.070,-0.203,-0.254
24,United Arab Emirates,individual,none,-0.075,-0.280,-0.319
24,United Kingdom of Great Britain and Northern Ireland,individual,none,-0.026,-0.088,-0.104
24,United Republic of Tanzania,individual,none,-0.093,-0.348,-0.371
24,United States of America,individual,none,-0.014,-0.048,-0.057
