iso3,income_group,gdp_pc,mean_distance_nm,t_per_musd,t_per_capita,share_pct,resolved,sids,ldc
ECU,Upper middle income,7125.276185277379,1250.557602415921,70.29043897597927,0.500838790888238,0.2564112553330978,True,False,False
SWE,High income,63133.21267366387,623.8601543041246,12.624102673823549,0.7970001589206708,0.2364033677286864,True,False,False
NOR,High income,94594.19295742015,608.197625439094,15.611253710509672,1.4767339457991933,0.2319318302446434,True,False,False
TGO,Lower middle income,1383.8997492442059,1186.3755838273958,669.6043635318707,0.926665310784582,0.2228569383610226,False,False,True
GHA,Lower middle income,3257.158890365669,1657.6018473173883,65.19699339444392,0.2123569666598248,0.208429520887971,True,False,False
MOZ,Low income,626.9144192103577,1664.9873691108742,332.320087089399,0.208336254389586,0.2077919471150984,False,False,True
DZA,Upper middle income,6051.003227047395,829.0041672840174,25.444106087385475,0.1539623680441057,0.204429814303788,True,False,False
BHS,High income,39284.12809869167,1363.7160645241709,460.1851812032978,18.07797360750999,0.2039474341063816,False,True,False
JAM,Upper middle income,8002.921040916408,1246.9112895196415,311.6697464709471,2.494268371849425,0.1980807141875612,False,True,False
CIV,Lower middle income,3050.102022567138,1536.6605932553257,62.041573571021935,0.1892331290322219,0.1732711047705789,True,False,False
ISR,High income,60336.84779645948,805.1022521614522,9.806173111595616,0.5916735745000782,0.1676527648552032,True,False,False
GTM,Upper middle income,6598.180329861903,1052.9808015832743,48.35940525179406,0.3190840764962079,0.1669141219673826,True,False,False
URY,High income,25215.82381537087,1416.9613625693562,69.03601026062216,1.740799871647984,0.164928374298046,True,False,False
PNG,Lower middle income,3019.5309140720315,1266.0278885524997,179.12294766936765,0.5408672779073623,0.1629463190587454,False,True,False
POL,High income,28419.5777395517,671.4488671078274,4.997034197305674,0.1420136018375269,0.1448394508344264,True,False,False
COG,Lower middle income,2514.7339358837166,1540.1406367307357,314.3409494163605,0.7904838529352285,0.1434805949327516,False,False,False
CRI,High income,19970.098905869454,1181.4826978658004,49.639925670915225,0.9913142253281853,0.1429865400224455,True,False,False
KEN,Lower middle income,2362.8609119893345,2153.178167885552,35.946653075791104,0.0849369414696279,0.1367847566177069,True,False,False
NAM,Lower middle income,4875.925581735221,2815.9174062993584,310.5283156563155,1.5141129581617785,0.1310811522017044,True,False,False
VEN,Lower middle income,3494.813887037355,1068.7613930054424,46.093261526736406,0.161087370482483,0.1285853924224216,True,False,False
CMR,Lower middle income,1972.3815800865996,1388.5788753757613,75.85237199228426,0.1496098213234581,0.1251292816455502,True,False,False
IRN,Upper middle income,3924.380178215032,884.2274736642981,12.313128347731777,0.0483213968196561,0.1250035759939613,True,False,False
SEN,Lower middle income,1954.7117419289682,1685.100963904451,114.65433772121736,0.2241161802067529,0.1187672821195124,False,False,True
FIN,High income,56148.580949115516,523.8134893868838,12.748481944664654,0.7158091704483408,0.1131356713750549,True,False,False
DJI,Lower middle income,3905.60495441171,1425.8736854997514,844.4983617376379,3.298276985595091,0.1093187339551402,False,False,True
TZA,Lower middle income,1277.7998553139862,1869.87767872036,40.48331921550593,0.0517295794362034,0.1021500070683287,True,False,True
BRN,High income,32234.642836617844,1214.842999778988,235.46078255407184,7.589994227661045,0.0990746830208827,True,False,False
GNQ,Upper middle income,6615.252452112043,1957.1069281899493,271.6872586430761,1.7972798039462083,0.0975200535764039,True,False,False
IRL,High income,131592.46254782,686.6801742536487,4.052751995724121,0.5333116152129291,0.0818720079740395,True,False,False
LBY,Upper middle income,6448.824150790602,699.5505375230246,59.668137523540224,0.3847893262945011,0.0803351490297413,False,False,False
GAB,Upper middle income,8263.033215843401,1762.831182933587,124.8196280212914,1.0313887323291484,0.0748642645596093,True,False,False
JOR,Upper middle income,5347.777313829631,1153.4278687779613,40.3463660168832,0.2157633808805547,0.0695799149673179,True,False,False
BHR,High income,30596.579489941676,867.9854810919651,45.74397092670881,1.399609042644627,0.0626980373694029,True,False,False
UKR,Upper middle income,5495.927304138882,556.2597272648328,10.350704573449889,0.0568867198822984,0.0620704376121553,True,False,False
