country,co2_t,cost_usd,voyages,mean_distance_nm,co2_share_pct,rank,population,gdp_usd,cost_per_capita_usd,cost_share_of_gdp_pct
TLS,136624.38590902725,13662438.590902723,499.5,1214.0231005488706,0.0038243366314681137,158,1418517.0,1902180258.0,9.63149443461215,0.7182515186687803
ERI,124402.62040041637,12440262.040041637,350.0,1468.6853622703015,0.003482229728481435,159,3607003.0,2065001626.0,3.448919238503998,0.6024335227347486
MAF,111585.5457243671,11158554.57243671,413.5,503.4875300252928,0.0031234591629945687,160,24941.0,649206263.0,447.3980422772427,1.7187995878032236
HKG,104793.08691954367,10479308.691954367,192.0,921.6910767185101,0.002933327299987908,161,7498900.0,427310315922.0,1.397446117691177,0.002452388416915081
GNB,104399.53242152448,10439953.242152447,338.0,1299.3930367646117,0.0029223110756642647,162,2249515.0,2527930273.0,4.640979607672074,0.4129842248284372
PLW,93197.55336292044,9319755.336292045,428.0,1052.8066572581777,0.002608749638050312,163,17663.0,345000000.0,527.6428316985815,2.7013783583455204
BMU,90273.88296820357,9027388.296820357,215.0,1412.8432020665482,0.0025269113943542,164,64555.0,9194499000.0,139.84026484114875,0.09818249256235012
GRD,85623.53313543559,8562353.313543558,1286.5,212.85136517043406,0.002396740611911026,165,117303.0,1420173229.0,72.99347257566778,0.6029090774773053
VCT,68391.30050726449,6839130.050726449,1456.0,193.21091767298503,0.0019143826635592861,166,99924.0,1255222222.0,68.44331742851016,0.5448541247006738
KNA,67817.93871192967,6781793.8711929675,676.0,321.38733872500995,0.0018983333433563517,167,46922.0,1183514815.0,144.53335047936932,0.5730214599124361
SHN,67379.58382566714,6737958.382566714,60.5,3330.6400781234665,0.0018860630840028486,168,,,,
FLK,65605.26229704403,6560526.229704403,199.5,1802.6952287249123,0.0018363969664004307,169,,,,
CYM,56884.72396746876,5688472.396746876,270.0,868.9948488751988,0.0015922950518116026,170,75844.0,7765336505.0,75.00227304397019,0.07325467985945158
CXR,50664.99246178406,5066499.246178406,314.5,1071.6588393808033,0.001418194748437323,171,,,,
TKM,48274.019390319416,4827401.939031942,1667.0,220.51514134317958,0.0013512675608696174,172,7618847.0,49828621356.0,0.6336131883252074,0.009688010239221
STP,48205.042147882545,4820504.214788254,93.0,1230.9110132338396,0.001349336776747633,173,240254.0,981293587.0,20.064199617023043,0.4912397552220276
DMA,47655.40964378702,4765540.964378702,605.0,254.74154073906604,0.0013339516776288147,174,65871.0,723859259.0,72.34657078803575,0.6583518695280932
VGB,45232.60096276711,4523260.096276711,538.0,376.12530853708427,0.0012661333600699493,175,39732.0,,113.84425894182802,
AZE,44966.54361043504,4496654.3610435035,1413.5,178.79524629278112,0.0012586859862221177,176,10246996.0,75937647059.0,0.4388265947447919,0.005921508678758262
TUV,29428.4910461745,2942849.10461745,118.0,1492.5913562444982,0.0008237508667863686,177,9492.0,57345435.0,310.0346717886062,5.131793149040459
NRU,29356.07296377989,2935607.296377989,64.0,2459.38548081747,0.0008217237680115804,178,12025.0,176040044.0,244.12534689214047,1.6675792789383699
ATA,26415.707502970836,2641570.7502970835,56.5,2919.745052116831,0.0007394182025237088,179,,,,
COK,25495.370306395642,2549537.030639564,256.0,567.9665966082609,0.0007136564819439816,180,16800.0,414092000.0,151.75815658568834,0.61569337988649
SJM,22202.759633447993,2220275.9633447994,91.0,1081.328642635964,0.0006214910055838454,181,,,,
KAZ,13678.10032902488,1367810.032902488,362.0,217.03355429393818,0.00038287206042424105,182,20843754.0,306239209650.0,0.06562205795090885,0.0004466475845682056
WLF,9989.07138883159,998907.1388831589,108.0,681.7486238072482,0.0002796101982269521,183,,,,
NIU,8546.068271162183,854606.8271162183,76.0,622.6756411163187,0.00023921821662346022,184,,,,
PRK,6021.794372257223,602179.4372257222,47.0,424.076498356896,0.00016855972417929968,185,26571036.0,,0.022663001819941166,
CCK,5770.861866636398,577086.1866636397,24.0,1286.555837523787,0.00016153571915350005,186,,,,
SGS,5068.120009287815,506812.0009287815,17.0,1531.7438511491373,0.00014186484261383427,187,,,,
PRY,3109.8684017901323,310986.84017901326,265.5,205.0019250370045,8.705022583545516e-05,188,7013078.0,49278227554.0,0.04434384448298069,0.0006310836562419541
MSR,772.9241011329747,77292.41011329748,31.0,135.29707800522905,2.1635390590341834e-05,189,,,,
AIA,379.8584487778702,37985.84487778702,4.0,595.6511023995058,1.0632849844252275e-05,190,,,,
SPM,279.92241138127747,27992.24113812775,2.0,418.4765626496665,7.835479183980534e-06,191,,,,
MDA,143.29748302164393,14329.748302164393,2.5,438.0845828623148,4.011127368446188e-06,192,2360527.0,20351796275.0,0.00607057165716147,7.041023852900372e-05
