iso3,co2_t,share_pct,resolved,sids,ldc,dependency,t_per_capita,t_per_musd
MDG,1255407.7008684156,0.03514088371496951,True,False,True,False,0.03834397384404854,63.98497328513559
PYF,1252600.9164713607,0.03506231729862392,False,False,False,True,4.434534956441898,198.0798704674604
VIR,1213108.7857614527,0.03395686894748407,False,False,False,True,11.68788332204267,259.6551339386671
FJI,1200502.2418946752,0.033603991478464525,False,True,False,False,1.286499593737663,193.69146690815336
SDN,1192074.5477899015,0.033368086745431326,False,False,True,False,0.02307442909389541,19.814201226903563
SLV,1160412.7180591363,0.03248182113147792,True,False,False,False,0.18229709703367294,31.611889526841242
GLP,1152128.7992845075,0.032249940901523846,False,False,False,True,,
GUM,1049799.5998030326,0.02938558177967285,False,False,False,True,6.211868708116809,151.92468882822467
KHM,1012395.9081519558,0.028338592201775693,False,False,True,False,0.0567232703479842,19.74749074293255
CPV,1000836.4290899502,0.028015023763217788,False,True,False,False,1.897946297148159,327.4312843416905
LBR,872770.9970597903,0.024430266037288498,False,False,True,False,0.15228400393560976,166.37078961399843
BGR,811641.834510909,0.02271916231278708,True,False,False,False,0.1261625576587123,6.206292947098734
NIC,767619.9766942668,0.021486919603600694,True,False,False,False,0.10954259830311383,34.519683770578446
MDV,754929.6776201096,0.021131697691416578,False,True,False,False,1.425266913396321,97.52269179116571
ABW,739261.6596676491,0.020693124631421325,False,False,False,True,6.795621268259862,177.38357228468817
YEM,736869.277721837,0.020626158007191267,False,False,True,False,0.017639475026039887,34.1045912420575
HTI,689868.8942197174,0.019310541566361365,False,True,True,False,0.05794249871345033,21.506465898495904
SOM,687670.2214617128,0.019248997174318154,False,False,True,False,0.03498750207070737,52.91724801940045
GEO,686241.8754404864,0.019209015468453248,True,False,False,False,0.1743604359203485,17.99100358031584
SLB,655474.696405439,0.018347792568545636,False,True,True,False,0.7815877950806825,374.64850285449944
MTQ,636756.4716570611,0.01782383930716417,False,False,False,True,,
GUY,625903.3447871906,0.017520042804232007,False,True,False,False,0.7487007495187605,23.09821463274163
CUW,620514.5757929601,0.017369202480039245,False,False,False,True,3.970962900961585,174.244179553281
FRO,618707.3998222589,0.01731861671368225,False,False,False,True,11.269715843756991,152.656548540144
SXM,571708.1955350633,0.01600303328097751,False,False,False,True,13.016146336431103,302.8550989150004
SYC,539494.690101013,0.015101325375468851,False,True,False,False,4.395784975971751,226.01153123564714
GRL,485832.7973146821,0.013599242559643215,False,False,False,True,8.548728639557321,146.0473094935501
BRB,439939.9100413444,0.012314626722173854,False,True,False,False,1.5566316614052798,54.87895791098969
COM,433393.2256965991,0.012131374482189851,False,True,True,False,0.49090411554504815,238.79455914776216
LCA,379944.8906977393,0.010635269492827093,False,True,False,False,2.109059116052486,143.02760652717768
VUT,375677.3356324432,0.010515813752518137,False,True,False,False,1.1208594339943228,277.52733868669293
MHL,356692.5090309161,0.009984397875833904,False,True,False,False,9.831114851191117,1158.0925617886885
GMB,338805.5505297756,0.009483713095687773,False,False,True,False,0.1200547078107545,130.62765486229475
SUR,335209.59771394194,0.009383056584135139,False,True,False,False,0.5238877826270875,74.10144903892737
FSM,287791.0507689764,0.008055735074976648,False,True,False,False,2.531522310010964,573.5201817804159
ALB,282462.9763869615,0.007906593690744597,True,False,False,False,0.12021849708754821,9.248894403679216
ASM,282101.5587360376,0.00789647702853608,False,False,False,False,6.128778785896665,323.88238660853915
BLZ,229451.77016715112,0.006422724640019473,False,True,False,False,0.5425366500060321,68.97693376436227
KIR,206276.32782040967,0.005774006678526593,False,True,True,False,1.5113147516295182,590.6650338934019
WSM,185221.0043143351,0.005184634258398685,False,True,False,False,0.8445779153982795,143.81220407158753
ATG,184884.9241984181,0.005175226834607845,False,True,False,False,1.9624974705008873,79.07160083809238
