iso3,share_pct,resolved,sids,ldc,population,t_per_capita,t_per_musd,net_all,net_developing,net_sids_ldc
BRN,0.0990746830208827,True,False,False,466330.0,7.589994227661045,235.46078255407184,-711.8317063026941,-758.9994227661043,-758.9994227661043
GNQ,0.0975200535764039,True,False,False,1938431.0,1.7972798039462083,271.6872586430761,-132.56026393121047,-122.40169570939968,-179.72798039462072
IRL,0.0818720079740395,True,False,False,5484367.0,0.5333116152129291,4.052751995724121,-6.1634450578826385,-53.33116152129287,-53.33116152129287
LBY,0.0803351490297413,False,False,False,7458555.0,0.3847893262945011,59.668137523540224,8.688783833960136,18.84735205577094,-38.47893262945009
GAB,0.0748642645596093,True,False,False,2593130.0,1.0313887323291484,124.8196280212914,-55.97115676950459,-45.8125885476938,-103.13887323291482
JOR,0.0695799149673179,True,False,False,11520684.0,0.2157633808805547,40.3463660168832,25.591378375354783,35.74994659716558,-21.57633808805545
BHR,0.0626980373694029,True,False,False,1600366.0,1.399609042644627,45.74397092670881,-92.79318780105235,-139.96090426446258,-139.96090426446258
UKR,0.0620704376121553,True,False,False,38980376.0,0.0568867198822984,10.350704573449889,41.479044475180395,51.63761269699119,-5.688671988229839
COD,0.0620679059789342,False,False,True,112832473.0,0.0196519249192427,24.35858887966737,45.20252397148595,55.36109219329675,441.39077901047017
HND,0.0606874907832873,True,False,False,11005850.0,0.1969915971517442,54.74704104274622,27.468556748235837,37.62712497004663,-19.6991597151744
LTU,0.0596602941096193,True,False,False,2888774.0,0.7378089733418811,22.38588386684683,-26.613180870777786,-73.78089733418801,-73.78089733418801
EST,0.0533150026190355,True,False,False,1366475.0,1.3938622422204532,40.49849329863874,-92.21850775863481,-139.38622422204503,-139.38622422204503
SVN,0.0510805681573135,True,False,False,2130986.0,0.856341974940252,22.91141100155575,-38.46648103061491,-85.63419749402514,-85.63419749402514
MMR,0.0502389399665913,False,False,True,54850648.0,0.0327213199296096,21.977206825102403,43.89558447044927,54.054152692260075,440.0838395094335
MRT,0.0496173673535088,False,False,True,5315065.0,0.33350108164132,151.76313712400136,13.817608299278275,23.97617652108907,410.0058633382625
ROU,0.0485608628257908,True,False,False,19020271.0,0.0912098630645503,4.0469452665642764,38.046730156955206,-9.120986306455027,-9.120986306455027
